PERSON_ID,RECRUIT_ID,LABEL
0,0,0
1,1,0
2,2,1
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,17,0
19,18,0
20,19,0
21,20,1
22,21,0
23,22,0
24,23,1
25,24,0
26,25,1
27,26,0
28,27,0
29,28,0
30,29,0
31,30,0
32,31,0
33,32,0
34,33,0
35,34,0
36,35,0
37,36,0
38,37,0
39,38,0
40,39,0
41,12,0
42,40,0
43,41,0
44,42,0
45,43,0
46,21,0
47,44,0
48,45,0
49,46,0
50,47,0
51,48,0
52,49,0
53,36,0
54,50,0
55,4,0
56,47,0
57,51,0
58,52,0
59,53,0
60,42,0
61,54,1
62,55,0
63,56,0
64,0,0
65,37,0
66,57,0
67,58,1
68,59,0
69,31,1
70,60,0
71,61,0
72,62,0
73,63,0
74,64,0
75,65,0
76,66,0
77,67,0
78,34,0
79,46,0
80,68,0
81,34,0
82,0,0
83,69,1
84,70,0
85,71,0
86,72,0
87,73,0
88,37,0
89,74,0
90,47,0
91,75,0
92,76,1
93,77,0
94,78,0
95,79,0
96,80,0
97,81,0
98,13,0
99,82,0
100,83,0
101,84,0
102,75,0
103,55,0
104,68,0
105,76,1
106,85,0
107,25,1
108,31,0
109,86,0
110,87,0
111,88,1
112,89,0
91,90,0
113,91,0
114,92,0
115,93,0
116,94,0
117,71,0
118,95,0
119,18,0
120,96,0
121,97,0
122,66,0
123,98,1
124,99,0
125,27,0
126,100,0
127,101,0
128,60,0
129,102,0
130,56,0
131,103,0
132,104,0
133,105,0
134,106,1
135,107,0
136,26,0
137,108,1
138,109,1
139,110,0
140,74,0
141,69,0
142,99,0
143,111,0
144,112,0
74,113,0
145,114,0
146,115,0
147,71,0
148,26,0
149,89,0
150,79,0
151,116,1
152,117,0
153,118,0
154,66,0
155,56,0
156,12,0
157,119,0
158,47,0
159,120,1
160,121,0
161,26,0
162,111,0
163,37,0
164,67,0
165,122,0
166,22,0
167,123,0
168,124,0
169,45,0
170,0,0
171,28,0
172,125,0
173,79,0
174,119,0
175,126,0
176,127,0
32,21,0
177,128,0
178,129,0
179,81,0
180,130,0
181,113,0
182,131,0
183,18,0
184,68,0
185,79,0
186,68,0
187,81,1
188,132,0
189,133,0
190,134,0
191,135,0
192,71,0
193,123,0
194,26,0
195,136,0
196,69,0
197,33,0
198,137,1
199,66,0
200,138,0
201,37,0
202,123,0
203,96,0
204,75,0
205,139,1
206,124,0
207,124,0
208,140,0
209,3,0
210,38,0
211,78,0
212,141,0
213,37,0
214,142,0
215,42,0
216,92,0
217,143,0
218,13,0
219,26,0
220,144,1
221,123,0
222,7,0
223,79,0
224,76,1
225,87,0
226,145,0
227,75,0
228,146,0
180,147,0
229,148,0
230,74,0
231,127,0
232,27,0
233,26,0
234,0,0
235,87,0
236,125,0
237,149,0
238,150,0
239,151,0
240,42,0
241,152,0
242,153,0
243,69,0
244,154,0
245,155,0
246,156,0
247,127,0
248,157,0
249,74,0
250,158,0
251,91,0
252,22,0
253,110,0
254,159,0
255,26,0
256,59,0
257,68,0
258,67,0
259,22,0
260,28,0
261,26,0
262,66,0
263,99,0
264,160,0
265,161,0
266,162,1
267,137,0
268,3,0
269,46,0
270,6,1
271,134,0
272,92,0
273,42,0
274,37,0
275,66,0
276,35,0
277,163,0
278,48,0
279,87,0
280,164,0
281,37,0
282,165,0
283,67,0
284,22,0
285,166,0
286,94,0
287,37,0
288,167,0
289,37,0
290,90,0
291,168,0
292,93,0
293,169,1
294,0,0
295,100,0
296,72,0
297,34,0
298,40,0
299,170,1
300,60,0
301,110,0
302,171,1
303,68,0
304,46,0
305,172,0
306,95,0
307,173,0
308,174,0
309,175,0
310,78,1
311,124,0
312,176,0
313,66,0
314,177,0
315,178,0
316,66,0
317,68,0
318,18,0
319,124,0
320,102,0
321,66,0
322,47,0
323,179,0
324,59,0
325,180,0
326,65,0
327,12,0
328,181,1
329,182,0
330,183,0
331,26,0
149,184,0
332,185,1
333,68,0
334,6,0
335,55,0
336,66,0
337,47,0
338,71,0
339,111,0
340,186,0
341,126,0
342,187,0
343,188,0
344,189,0
345,180,0
346,190,0
347,191,0
348,192,1
349,193,0
350,1,0
351,102,0
352,194,0
353,195,0
354,196,0
355,158,0
356,77,0
357,37,0
358,191,0
359,197,0
360,36,0
361,157,0
362,137,1
363,198,1
364,199,0
365,12,0
366,0,0
367,200,0
368,66,0
369,122,0
370,0,0
371,201,1
372,202,0
373,0,0
374,203,0
375,155,0
376,59,0
377,204,0
378,205,0
379,182,0
380,199,0
381,56,0
382,104,0
383,71,0
384,147,0
385,206,0
386,21,0
387,37,0
388,207,0
271,208,0
389,209,0
390,210,0
391,87,0
392,46,0
393,211,0
394,64,0
395,212,0
396,55,0
397,213,0
398,37,0
399,47,0
400,67,1
401,214,0
402,215,1
403,37,0
404,216,1
405,7,0
406,26,0
407,161,0
408,68,0
409,217,0
410,118,0
411,218,0
412,219,0
413,130,0
414,104,0
415,21,0
416,220,0
417,71,0
418,100,0
419,221,0
420,80,0
421,18,0
422,4,0
423,222,0
424,6,0
342,223,0
425,6,0
426,124,0
427,224,0
428,31,0
429,145,0
430,100,0
431,124,1
432,68,0
433,3,0
434,34,0
435,7,0
436,41,0
437,79,0
438,217,0
439,147,0
440,161,0
441,3,0
442,161,0
443,225,0
444,133,0
445,0,0
446,226,0
447,177,0
448,17,0
449,34,0
450,3,0
451,70,0
452,227,0
453,45,0
454,228,0
455,102,0
456,229,0
457,165,0
458,75,0
459,27,0
460,107,0
461,180,0
462,133,0
463,230,0
464,56,0
465,40,1
466,58,1
467,231,1
468,232,0
469,3,0
470,233,0
471,172,0
472,54,1
473,179,0
474,120,1
475,234,0
476,155,0
477,235,0
478,37,0
479,210,0
480,161,0
481,37,0
482,60,0
483,236,1
484,237,0
485,237,0
486,127,0
487,193,0
488,161,0
489,238,0
490,182,0
491,117,0
492,68,0
493,47,0
494,239,0
495,91,1
496,128,0
497,7,0
498,212,0
499,240,0
500,241,1
501,37,0
502,53,0
503,97,0
504,242,0
505,36,0
506,124,0
507,14,0
508,243,0
509,62,0
510,142,0
511,244,0
512,244,0
513,175,0
514,88,0
515,147,0
516,88,0
517,213,0
518,245,1
519,137,0
520,246,0
521,247,0
522,66,0
523,44,0
524,248,0
525,77,0
526,249,0
527,115,0
528,250,0
529,251,0
530,55,0
531,252,0
532,123,1
533,54,1
534,253,0
535,254,0
536,49,1
537,255,0
538,256,1
539,257,1
540,95,0
541,131,0
542,258,0
543,259,0
544,260,0
545,38,0
546,217,0
547,180,0
548,71,0
549,261,0
550,262,0
551,51,0
552,22,0
553,263,0
554,71,0
555,76,1
556,26,0
557,253,0
558,21,0
559,186,1
560,264,0
561,252,0
562,69,0
563,127,0
90,0,0
564,233,0
565,137,1
566,66,0
567,256,1
568,189,0
569,31,1
570,33,0
571,265,0
572,10,0
573,266,0
574,63,0
575,137,0
576,97,0
577,91,0
578,46,0
579,267,0
580,268,0
110,21,0
581,138,0
582,191,0
583,36,0
584,71,0
585,228,0
586,217,0
587,137,0
588,97,0
589,92,0
590,170,1
591,150,0
592,269,1
593,4,0
594,161,0
595,66,0
596,215,1
597,161,0
598,250,0
599,37,0
600,199,0
601,141,0
602,37,0
603,135,0
604,270,0
605,60,0
606,155,0
607,124,0
608,271,0
609,272,1
610,273,0
611,213,1
612,274,0
613,66,0
446,17,0
614,26,0
615,197,0
616,3,0
617,133,0
618,275,0
619,12,0
620,137,0
621,276,0
622,106,1
623,119,0
624,277,0
625,50,0
626,79,0
